sample,prediction,p_left_raw,p_right_raw,name,mean_left,mean_right,n_preds
24959,left_hand,0.7798274159431458,0.22017258405685425,MediaProbabilidades,0.8371484041213989,0.16285161226987838,5
25023,left_hand,0.7093732357025146,0.29062676429748535,MediaProbabilidades,0.8080858826637268,0.19191412776708602,5
25087,left_hand,0.809741735458374,0.1902582347393036,MediaProbabilidades,0.8002063512802124,0.19979365020990372,5
25151,left_hand,0.8851044774055481,0.11489555239677429,MediaProbabilidades,0.7972351908683777,0.2027648061513901,5
25215,left_hand,0.9073472619056702,0.09265269339084625,MediaProbabilidades,0.8182788252830505,0.18172116577625275,5
25279,left_hand,0.9604035019874573,0.03959651291370392,MediaProbabilidades,0.8543940424919129,0.14560595154762268,5
25343,left_hand,0.954838752746582,0.04516126960515976,MediaProbabilidades,0.9034871459007263,0.09651285260915757,5
25407,left_hand,0.955897331237793,0.044102638959884644,MediaProbabilidades,0.9327182650566102,0.06728173345327378,5
25471,left_hand,0.9620575904846191,0.03794240206480026,MediaProbabilidades,0.9481088876724243,0.05189110338687897,5
25535,left_hand,0.9705479741096497,0.029452094808220863,MediaProbabilidades,0.9607490301132202,0.03925098367035389,5
25599,left_hand,0.9680242538452148,0.031975772231817245,MediaProbabilidades,0.9622731804847717,0.03772683553397656,5
25663,left_hand,0.9613193273544312,0.03868062421679497,MediaProbabilidades,0.9635692954063415,0.0364307064563036,5
25727,left_hand,0.9223005771636963,0.07769940793514252,MediaProbabilidades,0.9568499445915222,0.04315006025135517,5
25791,left_hand,0.9153568744659424,0.08464306592941284,MediaProbabilidades,0.9475098013877868,0.05249019302427769,5
25855,left_hand,0.9323365688323975,0.06766337156295776,MediaProbabilidades,0.9398675203323364,0.060132448375225064,5
25919,left_hand,0.9257880449295044,0.07421200722455978,MediaProbabilidades,0.9314202785491943,0.06857969537377358,5
25983,left_hand,0.9310433268547058,0.06895670294761658,MediaProbabilidades,0.9253650784492493,0.07463491111993789,5
26047,left_hand,0.8881937265396118,0.11180621385574341,MediaProbabilidades,0.9185437083244323,0.08145627230405808,5
26111,left_hand,0.8889361619949341,0.11106378585100174,MediaProbabilidades,0.9132595658302307,0.08674041628837585,5
26175,left_hand,0.8492200374603271,0.15077994763851166,MediaProbabilidades,0.8966362595558166,0.10336373150348663,5
26239,left_hand,0.8613595962524414,0.1386403739452362,MediaProbabilidades,0.883750569820404,0.11624940484762192,5
26303,left_hand,0.8728498220443726,0.12715017795562744,MediaProbabilidades,0.8721118688583374,0.12788809984922409,5
26367,left_hand,0.8804251551628113,0.11957485973834991,MediaProbabilidades,0.8705581545829773,0.1294418290257454,5
26431,left_hand,0.9145401120185852,0.08545992523431778,MediaProbabilidades,0.8756789445877076,0.1243210569024086,5
26495,left_hand,0.9423639178276062,0.05763610452413559,MediaProbabilidades,0.8943077206611634,0.10569228827953339,5
26559,left_hand,0.9677969813346863,0.032203011214733124,MediaProbabilidades,0.9155951976776123,0.08440481573343277,5
26623,left_hand,0.9857010841369629,0.014298941940069199,MediaProbabilidades,0.9381654500961304,0.06183456853032112,5
26687,left_hand,0.9873535633087158,0.012646449729800224,MediaProbabilidades,0.9595511317253113,0.040448886528611186,5
26751,left_hand,0.9873532056808472,0.012646825052797794,MediaProbabilidades,0.9741137504577637,0.025886266492307186,5
26815,left_hand,0.9862667322158813,0.01373326312750578,MediaProbabilidades,0.9828943133354187,0.017105698212981225,5
26879,left_hand,0.9881845712661743,0.011815409176051617,MediaProbabilidades,0.9869718313217163,0.013028177805244923,5
26943,left_hand,0.9899781942367554,0.01002182811498642,MediaProbabilidades,0.9878272533416748,0.012172755040228366,5
27007,left_hand,0.9933719635009766,0.006628020200878382,MediaProbabilidades,0.9890309333801269,0.010969069134443999,5
27071,left_hand,0.9928877949714661,0.007112216204404831,MediaProbabilidades,0.9901378512382507,0.009862147364765405,5
27135,left_hand,0.9928434491157532,0.007156579289585352,MediaProbabilidades,0.9914531946182251,0.00854681059718132,5
27199,left_hand,0.9926556348800659,0.007344404235482216,MediaProbabilidades,0.9923474073410035,0.00765260960906744,5
