time,P8,O2,P4,C4,F8,F4,Oz,Cz,Fz,Pz,F3,O1,P7,C3,P3,F7,Accel_x,Accel_y,Accel_z,Digital,Battery
444258.9676365225,177062.640625,178610.640625,176170.640625,202588.28125,180499.09375,198371.25,175371.046875,171537.53125,177634.421875,178708.984375,193906.40625,186214.84375,188285.84375,206427.765625,209750.796875,189641.203125,9.905696868896484,0.22947563230991364,0.03824593871831894,1.0,51.0
444258.9716343203,177066.234375,178595.25,176175.09375,202566.59375,180502.90625,198345.5625,175373.828125,171542.953125,177639.1875,178697.953125,193879.390625,186204.34375,188263.40625,206403.453125,209726.140625,189618.234375,9.905696868896484,0.22947563230991364,0.03824593871831894,1.0,51.0
444258.9756321182,177063.609375,178603.578125,176160.546875,202571.359375,180484.328125,198348.984375,175375.671875,171527.640625,177620.8125,178692.828125,193883.8125,186207.4375,188268.28125,206408.15625,209731.4375,189622.21875,9.905696868896484,0.22947563230991364,0.0,1.0,51.0
444258.97962991614,177058.75,178623.59375,176148.015625,202595.0625,180470.390625,198375.9375,175374.859375,171514.453125,177606.296875,178699.6875,193912.28125,186219.171875,188292.8125,206434.640625,209759.109375,189646.625,9.905696868896484,0.22947563230991364,0.0,1.0,51.0
444258.9836277142,177058.015625,178627.75,176154.015625,202604.21875,180479.3125,198389.015625,175371.609375,171519.859375,177614.40625,178708.015625,193924.6875,186222.953125,188302.84375,206446.546875,209771.0,189656.515625,9.905696868896484,0.22947563230991364,0.0,1.0,51.0
444258.98762550723,177061.328125,178609.0625,176169.4375,202584.265625,180497.078125,198368.328125,175369.828125,171536.25,177633.015625,178705.65625,193901.609375,186212.15625,188282.953125,206425.390625,209749.71875,189635.796875,9.905696868896484,0.22947563230991364,0.0,1.0,51.0
444258.99162330036,177064.6875,178592.96875,176173.75,202562.265625,180500.96875,198342.421875,175372.140625,171541.078125,177636.9375,178695.703125,193874.453125,186201.234375,188260.59375,206400.578125,209724.8125,189612.03125,9.905696868896484,0.22947563230991364,0.0,1.0,51.0
444258.99562109355,177062.90625,178601.421875,176159.703125,202567.671875,180483.96875,198346.578125,175374.421875,171526.296875,177619.375,178690.8125,193879.71875,186204.578125,188266.296875,206405.875,209730.5,189616.515625,9.905696868896484,0.15298375487327576,0.03824593871831894,1.0,51.0
444258.99961888685,177057.6875,178621.78125,176146.46875,202591.609375,180469.140625,198373.59375,175373.3125,171512.109375,177604.6875,178697.25,193908.5625,186216.484375,188290.90625,206432.890625,209758.4375,189640.859375,9.905696868896484,0.15298375487327576,0.03824593871831894,1.0,51.0
444259.0036166802,177056.734375,178626.578125,176152.5,202601.59375,180478.0,198387.171875,175370.9375,171518.65625,177612.828125,178706.03125,193921.5625,186220.984375,188301.796875,206445.8125,209771.578125,189651.59375,9.905696868896484,0.15298375487327576,0.03824593871831894,1.0,51.0
